bin_center_gev,bin_width_gev,count,model_count,model_bg_count
110.125030,0.249886,747,641.675389,584.538444
110.374915,0.249886,721,626.609424,566.417632
110.624801,0.249886,665,611.678923,548.296820
110.874687,0.249886,644,596.888187,530.176009
111.124573,0.249886,673,582.241556,512.055197
111.374458,0.249886,614,567.743401,493.934385
111.624344,0.249886,619,553.398121,475.813573
111.874230,0.249886,552,539.210132,457.692761
112.124116,0.249886,563,525.183862,439.571949
112.374001,0.249886,521,511.323747,421.451137
112.623887,0.249886,534,497.634217,403.330325
112.873773,0.249886,483,484.119693,385.209513
113.123659,0.249886,435,470.784576,367.088701
113.373544,0.249886,445,457.633238,348.967889
113.623430,0.249886,476,444.670015,330.847077
113.873316,0.249886,396,431.899194,312.726265
114.123202,0.249886,366,419.325006,294.605453
114.373087,0.249886,376,406.951616,276.484641
114.622973,0.249886,412,394.783108,258.363830
114.872859,0.249886,377,382.823479,240.243018
115.122745,0.249886,334,371.076626,222.122206
115.372630,0.249886,340,359.546334,204.001394
115.622516,0.249886,320,348.236264,185.880582
115.872402,0.249886,291,337.149942,167.759770
116.122288,0.249886,332,326.290746,149.638958
116.372173,0.249886,314,315.661893,131.518146
116.622059,0.249886,283,305.266429,113.397334
116.871945,0.249886,301,295.107213,95.276522
117.121831,0.249886,249,285.186906,77.155710
117.371716,0.249886,248,275.507956,59.034898
117.621602,0.249886,248,266.072588,40.914086
117.871488,0.249886,243,256.882788,22.793274
118.121374,0.249886,231,247.940293,4.672462
118.371259,0.249886,239,239.246573,-13.448349
118.621145,0.249886,189,230.802823,-31.569161
118.871031,0.249886,195,222.609949,-49.689973
119.120917,0.249886,204,214.668552,-67.810785
119.370802,0.249886,170,206.978921,-85.931597
119.620688,0.249886,168,199.541014,-104.052409
119.870574,0.249886,185,192.354453,-122.173221
120.120460,0.249886,181,185.418506,-140.294033
120.370345,0.249886,174,178.732082,-158.414845
120.620231,0.249886,143,172.293714,-176.535657
120.870117,0.249886,144,166.101552,-194.656469
121.120003,0.249886,149,160.153353,-212.777281
121.369888,0.249886,159,154.446468,-230.898093
121.619774,0.249886,127,148.977840,-249.018905
121.869660,0.249886,129,143.743988,-267.139717
122.119546,0.249886,156,138.741005,-285.260528
122.369431,0.249886,123,133.964549,-303.381340
122.619317,0.249886,139,129.409836,-321.502152
122.869203,0.249886,141,125.071637,-339.622964
123.119089,0.249886,137,120.944272,-357.743776
123.368974,0.249886,159,117.021605,-375.864588
123.618860,0.249886,155,113.297044,-393.985400
123.868746,0.249886,144,109.763539,-412.106212
124.118632,0.249886,128,106.413578,-430.227024
124.368517,0.249886,179,103.239192,-448.347836
124.618403,0.249886,149,100.231951,-466.468648
124.868289,0.249886,150,97.382969,-484.589460
125.118175,0.249886,152,94.682909,-502.710272
125.368060,0.249886,158,92.121985,-520.831084
125.617946,0.249886,170,89.689966,-538.951896
125.867832,0.249886,122,87.376188,-557.072707
126.117718,0.249886,113,85.169556,-575.193519
126.367603,0.249886,121,83.058557,-593.314331
126.617489,0.249886,102,81.031268,-611.435143
126.867375,0.249886,104,79.075368,-629.555955
127.117261,0.249886,78,77.178152,-647.676767
127.367146,0.249886,94,75.326539,-665.797579
127.617032,0.249886,54,73.507096,-683.918391
127.866918,0.249886,72,71.706046,-702.039203
128.116804,0.249886,61,69.909286,-720.160015
128.366689,0.249886,57,68.102409,-738.280827
128.616575,0.249886,60,66.270720,-756.401639
128.866461,0.249886,47,64.399258,-774.522451
129.116347,0.249886,49,62.472814,-792.643263
129.366232,0.249886,38,60.475957,-810.764075
129.616118,0.249886,38,58.393054,-828.884886
129.866004,0.249886,48,56.208297,-847.005698
130.115890,0.249886,46,53.905724,-865.126510
130.365775,0.249886,34,51.469248,-883.247322
130.615661,0.249886,34,48.882682,-901.368134
130.865547,0.249886,35,46.129764,-919.488946
131.115433,0.249886,29,43.194189,-937.609758
131.365318,0.249886,27,40.059634,-955.730570
131.615204,0.249886,22,36.709786,-973.851382
131.865090,0.249886,27,33.128374,-991.972194
132.114976,0.249886,28,29.299195,-1010.093006
132.364861,0.249886,27,25.206148,-1028.213818
132.614747,0.249886,26,20.833259,-1046.334630
132.864633,0.249886,28,16.164714,-1064.455442
133.114519,0.249886,22,11.184890,-1082.576254
133.364404,0.249886,25,5.878380,-1100.697065
133.614290,0.249886,12,0.230030,-1118.817877
133.864176,0.249886,10,0.000000,-1136.938689
134.114062,0.249886,23,0.000000,-1155.059501
134.363947,0.249886,21,0.000000,-1173.180313
134.613833,0.249886,15,0.000000,-1191.301125
134.863719,0.249886,24,0.000000,-1209.421937
135.113605,0.249886,16,0.000000,-1227.542749
135.363490,0.249886,10,0.000000,-1245.663561
135.613376,0.249886,14,0.000000,-1263.784373
135.863262,0.249886,19,0.000000,-1281.905185
136.113148,0.249886,16,0.000000,-1300.025997
136.363033,0.249886,11,0.000000,-1318.146809
136.612919,0.249886,24,0.000000,-1336.267621
136.862805,0.249886,13,0.000000,-1354.388433
137.112691,0.249886,13,0.000000,-1372.509244
137.362576,0.249886,18,0.000000,-1390.630056
137.612462,0.249886,9,0.000000,-1408.750868
137.862348,0.249886,17,0.000000,-1426.871680
138.112234,0.249886,14,0.000000,-1444.992492
138.362119,0.249886,13,0.000000,-1463.113304
138.612005,0.249886,11,0.000000,-1481.234116
138.861891,0.249886,15,0.000000,-1499.354928
139.111777,0.249886,5,0.000000,-1517.475740
139.361662,0.249886,17,0.000000,-1535.596552
139.611548,0.249886,12,0.000000,-1553.717364
139.861434,0.249886,11,0.000000,-1571.838176
